mu,n,m,alpha,mutation,div_threshold,euclidean_norm,generations,max_generations,diversity,fitness,opt,starting_robustness,ending_robustness
2,5,1,1,XRAI_2.50,0.85,1,3.2,100.0,1.0,0.3,0.0,0.1,0.3
2,5,1,1,XRAI_2.50,1.0,0,3.2,100.0,1.0,0.3,0.0,0.3,0.3
2,5,1,1,XRAI_2.50,1.0,1,3.2,100.0,1.0,0.3,0.0,0.3,0.3
2,5,1,1,XRAI_3.00,0.25,0,1.0,100.0,0.62,0.0,0.0,0.0,0.0
2,5,1,1,XRAI_3.00,0.25,1,1.0,100.0,0.62,0.0,0.0,0.0,0.0
2,5,1,1,XRAI_3.00,0.5,0,1.4,100.0,0.74,0.0,0.0,0.0,0.1
2,5,1,1,XRAI_3.00,0.5,1,1.4,100.0,0.74,0.0,0.0,0.0,0.1
2,5,1,1,XRAI_3.00,0.75,0,1.8,100.0,0.8200000000000001,0.0,0.0,0.1,0.2
2,5,1,1,XRAI_3.00,0.75,1,1.8,100.0,0.8200000000000001,0.0,0.0,0.1,0.2
2,5,1,1,XRAI_3.00,0.85,0,3.8,100.0,1.0,0.2,0.0,0.2,0.3
2,5,1,1,XRAI_3.00,0.85,1,3.8,100.0,1.0,0.2,0.0,0.2,0.3
2,5,1,1,XRAI_3.00,1.0,0,3.8,100.0,1.0,0.2,0.0,0.3,0.3
2,5,1,1,XRAI_3.00,1.0,1,3.8,100.0,1.0,0.2,0.0,0.3,0.3
2,5,3,0,1RAI,0.25,0,2.1,100.0,0.44000000000000006,0.0,0.0,0.1,0.2
2,5,3,0,1RAI,0.25,1,2.1,100.0,0.44000000000000006,0.0,0.0,0.1,0.2
2,5,3,0,1RAI,0.5,0,3.6,100.0,0.72,0.0,0.0,0.2,0.3
