seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,1,0,sum,0.65
357,5,10,1,0.3,3,5,2500,0.46,0,0,XRAI_0.10,1,1,sum,0.4
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,0,0,sum,0.75
16450,5,25,5,0.3,25,198,15625,0.908,6,0,XRAI_0.10,0,0,sum,0.9
153,2,25,1,0.3,1,11,2500,0.72,12,10,XRAI_0.10,0,0,sum,0.65
77,2,5,1,0.3,3,2,100,0.8,0,0,XRAI_0.10,0,0,sum,0.8
357,5,10,1,0.3,3,6,2500,0.51,0,0,XRAI_0.10,1,1,sum,0.5
9235,2,25,3,0.6,19,73,2500,1,15,8,XRAI_0.10,0,0,sum,1
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,sum,0.85
153,2,25,1,0.3,1,14,2500,0.76,12,10,XRAI_0.10,0,0,sum,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,sum,0.9
357,5,10,1,0.3,3,13,2500,0.65,1,0,XRAI_0.10,1,1,sum,0.65
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,sum,0.95
153,2,25,1,0.3,1,15,2500,0.8,12,10,XRAI_0.10,0,0,sum,0.8
357,5,10,1,0.3,3,15,2500,0.79,1,0,XRAI_0.10,1,1,sum,0.75
14173,5,50,3,0.6,16,77,62500,0.752,23,16,XRAI_0.10,0,0,sum,0.75
77,2,5,1,0.3,3,3,100,1,0,0,XRAI_0.10,0,0,sum,1
10214,2,25,3,0.6,20,0,2500,0,4,4,XRAI_0.10,0,0,sum,0
357,5,10,1,0.3,3,17,2500,0.84,1,0,XRAI_0.10,1,1,sum,0.8
114,2,5,1,0.3,4,0,100,0,0,0,XRAI_0.10,0,0,sum,0
153,2,25,1,0.3,1,20,2500,0.88,13,10,XRAI_0.10,0,0,sum,0.85
10214,2,25,3,0.6,20,1,2500,0.12,4,4,XRAI_0.10,0,0,sum,0.1
