seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
14173,5,50,3,0.6,16,53,62500,0.651632,25,16,1RAI,0,0,eucl,0.65
9235,2,25,3,0.6,19,16,2500,0.92,15,8,1RAI,0,0,eucl,0.9
93,2,15,1,0.3,1,4,900,0.533333,4,3,1RAI,0,0,eucl,0.5
11197,2,15,5,0.3,27,19,900,0.933333,1,0,1RAI,0,0,eucl,0.9
467,5,5,1,1,8,23,625,0.8,1,0,1RAI,1,1,eucl,0.8
93,2,15,1,0.3,1,8,900,0.733333,5,3,1RAI,0,0,eucl,0.65
153,2,25,1,0.3,1,155,2500,1,14,10,1RAI,0,1,eucl,1
11197,2,15,5,0.3,27,24,900,1,1,0,1RAI,0,0,eucl,0.95
33,2,5,1,0.3,1,0,100,0,0,0,1RAI,0,0,eucl,0
4319,2,50,1,1,9,68,10000,1,30,24,1RAI,0,0,eucl,1
230,2,25,1,0.3,2,0,2500,0,4,4,1RAI,0,0,eucl,0
33,2,5,1,0.3,1,1,100,0.4,0,0,1RAI,0,0,eucl,0.1
9235,2,25,3,0.6,19,19,2500,0.96,17,8,1RAI,0,0,eucl,0.95
429,5,10,1,0.3,4,35,2500,0.873509,2,0,1RAI,1,1,eucl,0.85
311,2,10,1,0.3,5,5,400,0.8,1,1,1RAI,0,0,eucl,0.75
1764,10,15,1,0.3,4,70,22500,0.805001,4,1,1RAI,0,0,eucl,0.8
33,2,5,1,0.3,1,1,100,0.4,0,0,1RAI,0,0,eucl,0.25
467,5,5,1,1,8,27,625,0.873509,0,0,1RAI,1,1,eucl,0.85
93,2,15,1,0.3,1,16,900,0.866667,6,3,1RAI,0,0,eucl,0.75
311,2,10,1,0.3,5,5,400,0.8,1,1,1RAI,0,0,eucl,0.8
230,2,25,1,0.3,2,3,2500,0.12,4,4,1RAI,0,0,eucl,0.1
33,2,5,1,0.3,1,1,100,0.4,0,0,1RAI,0,0,eucl,0.4
93,2,15,1,0.3,1,16,900,0.866667,6,3,1RAI,0,0,eucl,0.8
9235,2,25,3,0.6,19,31,2500,1,17,8,1RAI,0,0,eucl,1
429,5,10,1,0.3,4,57,2500,0.910557,1,0,1RAI,1,1,eucl,0.9
311,2,10,1,0.3,5,6,400,0.9,1,1,1RAI,0,0,eucl,0.85
11197,2,15,5,0.3,27,24,900,1,1,0,1RAI,0,0,eucl,1
33,2,5,1,0.3,1,3,100,0.6,0,0,1RAI,0,0,eucl,0.5
230,2,25,1,0.3,2,5,2500,0.28,4,4,1RAI,0,0,eucl,0.25
93,2,15,1,0.3,1,16,900,0.866667,6,3,1RAI,0,0,eucl,0.85
33,2,5,1,0.3,1,4,100,0.8,0,0,1RAI,0,0,eucl,0.65
5271,2,50,1,1,10,0,10000,0,24,24,1RAI,0,0,eucl,0
311,2,10,1,0.3,5,6,400,0.9,1,1,1RAI,0,0,eucl,0.9
429,5,10,1,0.3,4,80,2500,0.968377,1,0,1RAI,1,1,eucl,0.95
311,2,10,1,0.3,5,9,400,1,1,1,1RAI,0,1,eucl,0.95
12028,2,15,5,0.3,28,0,900,0,0,0,1RAI,0,0,eucl,0
33,2,5,1,0.3,1,4,100,0.8,0,0,1RAI,0,0,eucl,0.75
230,2,25,1,0.3,2,16,2500,0.48,8,4,1RAI,0,0,eucl,0.4
311,2,10,1,0.3,5,9,400,1,1,1,1RAI,1,1,eucl,1
5271,2,50,1,1,10,2,10000,0.12,24,24,1RAI,0,0,eucl,0.1
423,2,10,1,0.3,6,0,400,0,1,1,1RAI,0,0,eucl,0
230,2,25,1,0.3,2,17,2500,0.52,8,4,1RAI,0,0,eucl,0.5
33,2,5,1,0.3,1,4,100,0.8,0,0,1RAI,0,0,eucl,0.8
10214,2,25,3,0.6,20,0,2500,0,4,4,1RAI,0,0,eucl,0
93,2,15,1,0.3,1,24,900,0.933333,5,3,1RAI,0,0,eucl,0.9
33,2,5,1,0.3,1,5,100,1,0,0,1RAI,0,0,eucl,0.85
5271,2,50,1,1,10,5,10000,0.28,25,24,1RAI,0,0,eucl,0.25
33,2,5,1,0.3,1,5,100,1,0,0,1RAI,0,0,eucl,0.9
423,2,10,1,0.3,6,1,400,0.3,1,1,1RAI,0,0,eucl,0.1
230,2,25,1,0.3,2,22,2500,0.72,8,4,1RAI,0,0,eucl,0.65
423,2,10,1,0.3,6,1,400,0.3,1,1,1RAI,0,0,eucl,0.25
429,5,10,1,0.3,4,138,2500,1,2,0,1RAI,1,0,eucl,1
423,2,10,1,0.3,6,2,400,0.4,3,1,1RAI,0,0,eucl,0.4
10214,2,25,3,0.6,20,1,2500,0.12,4,4,1RAI,0,0,eucl,0.1
423,2,10,1,0.3,6,3,400,0.6,3,1,1RAI,0,0,eucl,0.5
521,5,10,1,0.3,5,0,2500,1.11022e-16,2,2,1RAI,0,0,eucl,0
423,2,10,1,0.3,6,4,400,0.8,3,1,1RAI,0,0,eucl,0.65
10214,2,25,3,0.6,20,3,2500,0.32,5,4,1RAI,0,0,eucl,0.25
521,5,10,1,0.3,5,1,2500,0.107812,2,2,1RAI,0,0,eucl,0.1
423,2,10,1,0.3,6,4,400,0.8,3,1,1RAI,0,0,eucl,0.75
