seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,0.9
1764,10,15,1,0.3,4,50,22500,0.854815,3,1,XRAI_1.00,1,1,sum,0.85
63,2,10,1,0.3,1,6,400,0.9,2,0,XRAI_1.00,1,1,sum,0.9
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,0,1,sum,0.65
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,0.95
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,1,1,sum,0.75
33,2,5,1,0.3,1,3,100,1,0,0,XRAI_1.00,0,0,sum,1
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,sum,0.65
50,2,5,1,0.3,2,0,100,0,0,0,XRAI_1.00,0,0,sum,0
63,2,10,1,0.3,1,17,400,1,2,0,XRAI_1.00,1,1,sum,0.95
8306,2,25,3,0.6,18,21,2500,0.96,8,1,XRAI_1.00,0,0,sum,0.95
153,2,25,1,0.3,1,10,2500,0.8,14,10,XRAI_1.00,1,1,sum,0.8
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,sum,0.1
63,2,10,1,0.3,1,17,400,1,2,0,XRAI_1.00,1,1,sum,1
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,sum,0.75
153,2,25,1,0.3,1,12,2500,0.88,14,10,XRAI_1.00,1,1,sum,0.85
10396,2,15,5,0.3,26,5,900,0.8,2,0,XRAI_1.00,0,0,sum,0.8
8306,2,25,3,0.6,18,23,2500,1,13,1,XRAI_1.00,0,0,sum,1
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,sum,0.25
153,2,25,1,0.3,1,18,2500,0.92,13,10,XRAI_1.00,1,0,sum,0.9
50,2,5,1,0.3,2,1,100,0.4,0,0,XRAI_1.00,0,0,sum,0.4
