seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,div_threshold
3328,2,15,1,0.3,6,1,900,0.533333,3,3,XRAI_1.50,0,0,eucl,0.25
1562,2,5,1,0.3,8,1,100,1,0,0,XRAI_1.50,1,1,eucl,0.25
3328,2,15,1,0.3,6,1,900,0.533333,3,3,XRAI_1.50,0,0,eucl,0.5
1562,2,5,1,0.3,8,1,100,1,0,0,XRAI_1.50,1,1,eucl,0.5
30037,2,15,5,1,17,7,900,0.866667,9,7,XRAI_1.50,0,0,eucl,0.85
1562,2,5,1,0.3,8,1,100,1,0,0,XRAI_1.50,1,1,eucl,0.75
3328,2,15,1,0.3,6,5,900,0.866667,5,3,XRAI_1.50,0,0,eucl,0.75
1562,2,5,1,0.3,8,1,100,1,0,0,XRAI_1.50,1,1,eucl,0.85
80767,2,30,3,1,22,9,3600,0.866667,20,13,XRAI_1.50,0,0,eucl,0.85
1811,2,10,1,0.3,5,1,400,0.6,0,0,XRAI_1.50,1,1,eucl,0.25
171755,2,50,1,1,27,31,10000,1,43,24,XRAI_1.50,0,0,eucl,1
1811,2,10,1,0.3,5,1,400,0.6,0,0,XRAI_1.50,1,1,eucl,0.5
3328,2,15,1,0.3,6,5,900,0.866667,5,3,XRAI_1.50,0,0,eucl,0.85
30037,2,15,5,1,17,13,900,1,10,7,XRAI_1.50,0,0,eucl,1
1562,2,5,1,0.3,8,1,100,1,0,0,XRAI_1.50,1,1,eucl,1
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,eucl,0.75
57195,10,30,1,0.6,22,70,90000,0.85035,16,10,XRAI_1.50,1,0,eucl,0.85
1799,2,5,1,0.3,9,1,100,0.4,0,0,XRAI_1.50,0,0,eucl,0.25
3328,2,15,1,0.3,6,25,900,1,6,3,XRAI_1.50,0,0,eucl,1
1799,2,5,1,0.3,9,2,100,1,0,0,XRAI_1.50,0,0,eucl,0.5
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,eucl,0.85
179507,2,50,1,1,28,2,10000,0.28,24,24,XRAI_1.50,0,0,eucl,0.25
1811,2,10,1,0.3,5,2,400,1,0,0,XRAI_1.50,1,1,eucl,1
1799,2,5,1,0.3,9,2,100,1,0,0,XRAI_1.50,0,0,eucl,0.75
3975,2,15,1,0.3,7,4,900,0.733333,2,2,XRAI_1.50,0,0,eucl,0.25
1799,2,5,1,0.3,9,2,100,1,0,0,XRAI_1.50,0,0,eucl,0.85
3975,2,15,1,0.3,7,4,900,0.733333,2,2,XRAI_1.50,0,0,eucl,0.5
1799,2,5,1,0.3,9,2,100,1,0,0,XRAI_1.50,0,0,eucl,1
10089,5,10,1,1,9,119,2500,1,2,0,XRAI_1.50,1,0,eucl,1
80767,2,30,3,1,22,41,3600,1,20,13,XRAI_1.50,0,0,eucl,1
2223,2,10,1,0.3,6,1,400,0.5,0,0,XRAI_1.50,1,1,eucl,0.25
179507,2,50,1,1,28,7,10000,0.58,31,24,XRAI_1.50,0,0,eucl,0.5
2223,2,10,1,0.3,6,1,400,0.5,0,0,XRAI_1.50,1,1,eucl,0.5
3975,2,15,1,0.3,7,6,900,0.933333,5,2,XRAI_1.50,0,0,eucl,0.75
3127,2,30,1,0.3,3,328,3600,1,15,9,XRAI_1.50,0,0,eucl,1
3975,2,15,1,0.3,7,6,900,0.933333,5,2,XRAI_1.50,0,0,eucl,0.85
2046,2,5,1,0.3,10,1,100,0.6,0,0,XRAI_1.50,0,0,eucl,0.25
11281,5,10,1,1,10,3,2500,0.362819,1,1,XRAI_1.50,0,0,eucl,0.25
