seed,mu,n,m,alpha,run,generations,max_generations,diversity,fitness,opt,mutation_operator,starting_robustness,ending_robustness,diversity_operator,diversity_threshold
357,5,10,1,0.3,3,12,2500,0.682195,1,0,XRAI_0.10,1,1,eucl,0.65
230,2,25,1,0.3,2,5,2500,0.48,5,4,XRAI_0.10,0,0,eucl,0.4
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.25
357,5,10,1,0.3,3,14,2500,0.761253,2,0,XRAI_0.10,1,1,eucl,0.75
51,2,10,1,0.3,0,13,400,1,4,2,XRAI_0.10,1,1,eucl,1
12028,2,15,5,0.3,28,2,900,0.266667,0,0,XRAI_0.10,0,0,eucl,0.25
16450,5,25,5,0.3,25,96,15625,0.80692,6,0,XRAI_0.10,0,0,eucl,0.8
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.4
12028,2,15,5,0.3,28,3,900,0.4,0,0,XRAI_0.10,0,0,eucl,0.4
357,5,10,1,0.3,3,17,2500,0.823932,2,0,XRAI_0.10,1,1,eucl,0.8
114,2,5,1,0.3,4,2,100,0.6,0,0,XRAI_0.10,0,0,eucl,0.5
63,2,10,1,0.3,1,0,400,0,0,0,XRAI_0.10,1,1,eucl,0
357,5,10,1,0.3,3,18,2500,0.858579,2,0,XRAI_0.10,1,1,eucl,0.85
140,2,15,1,0.3,2,39,900,1,5,1,XRAI_0.10,1,1,eucl,0.95
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,0,1,eucl,0.65
140,2,15,1,0.3,2,39,900,1,5,1,XRAI_0.10,1,1,eucl,1
63,2,10,1,0.3,1,1,400,0.3,0,0,XRAI_0.10,1,1,eucl,0.1
357,5,10,1,0.3,3,19,2500,0.9,2,0,XRAI_0.10,1,1,eucl,0.9
230,2,25,1,0.3,2,8,2500,0.6,6,4,XRAI_0.10,0,0,eucl,0.5
12028,2,15,5,0.3,28,5,900,0.6,2,0,XRAI_0.10,0,0,eucl,0.5
230,2,25,1,0.3,2,9,2500,0.68,6,4,XRAI_0.10,0,0,eucl,0.65
217,2,15,1,0.3,3,0,900,0,4,4,XRAI_0.10,1,1,eucl,0
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.75
230,2,25,1,0.3,2,12,2500,0.76,7,4,XRAI_0.10,0,0,eucl,0.75
114,2,5,1,0.3,4,3,100,0.8,0,0,XRAI_0.10,1,1,eucl,0.8
217,2,15,1,0.3,3,1,900,0.2,4,4,XRAI_0.10,1,1,eucl,0.1
12028,2,15,5,0.3,28,6,900,0.666667,1,0,XRAI_0.10,0,0,eucl,0.65
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,eucl,0.85
217,2,15,1,0.3,3,3,900,0.4,5,4,XRAI_0.10,1,1,eucl,0.25
230,2,25,1,0.3,2,16,2500,0.8,8,4,XRAI_0.10,0,0,eucl,0.8
357,5,10,1,0.3,3,39,2500,0.955279,2,0,XRAI_0.10,1,1,eucl,0.95
217,2,15,1,0.3,3,3,900,0.4,5,4,XRAI_0.10,1,1,eucl,0.4
114,2,5,1,0.3,4,4,100,1,1,0,XRAI_0.10,1,1,eucl,0.9
12028,2,15,5,0.3,28,9,900,0.866667,2,0,XRAI_0.10,0,0,eucl,0.75
217,2,15,1,0.3,3,4,900,0.533333,5,4,XRAI_0.10,1,1,eucl,0.5
